pair,tf,filter,sl_buffer,rr,entry,trades,wins,losses,win_rate,profit_factor,total_pips,net_return,max_dd,avg_zone_age,wt_trades,wt_wr,wt_pf,wt_pips,ct_trades,ct_wr,ct_pf,ct_pips,bars,csv
AUDNZD,2H,none,20,2.0,bottom,35,14,21,40.0,1.28,142.6,6.8,5.0,26.1,,,,,8,62.5,3.14,158.4,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,2H,origination,20,2.0,bottom,39,13,26,33.3,0.95,,,6.0,67.9,,,,,0,0.0,999.0,0.0,19354,PEPPERSTONE_AUDNZD__120.csv
AUDNZD,4H,none,10,1.5,bottom,35,27,8,77.1,5.53,482.8,37.9,2.0,115.9,31,77.4,5.46,431.2,4,75.0,6.16,51.6,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,origination,10,1.5,bottom,32,25,7,78.1,5.62,446.2,35.2,2.0,127.4,32,78.1,5.62,446.2,0,0.0,999.0,0.0,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,none,10,1.8,bottom,35,26,9,74.3,5.42,550.6,45.3,2.0,115.9,31,74.2,5.25,486.6,4,75.0,7.4,64.0,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,origination,10,1.8,bottom,32,24,8,75.0,5.4,504.6,41.6,2.0,127.4,32,75.0,5.4,504.6,0,0.0,999.0,0.0,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,none,10,2.0,bottom,35,23,12,65.7,4.46,535.5,39.8,2.0,115.9,31,64.5,4.2,463.3,4,75.0,8.22,72.2,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,origination,10,2.0,bottom,32,20,12,62.5,3.93,453.3,31.7,3.0,127.4,32,62.5,3.93,453.3,0,0.0,999.0,0.0,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,none,15,1.5,bottom,35,21,14,60.0,2.64,400.4,18.8,4.9,115.9,31,61.3,2.72,368.8,4,50.0,2.05,31.6,9794,PEPPERSTONE_AUDNZD__240.csv
AUDNZD,4H,origination,15,1.5,bottom,32,19,13,59.4,2.54,353.8,16.4,4.9,127.4,32,59.4,2.54,353.8,0,0.0,999.0,0.0,9794,PEPPERSTONE_AUDNZD__240.csv
